Location,Latitude,Longitude,Position,Season,Cd,Cr,Hg,Ni,Pb,Zn,pH,OM,EC,CEC,Clay,Silt,Sand
SL18,8.721666666666668,-75.93138888888889,surface,rainy,0.78,51.8,3.03,32.2,4.68,51.1,8.2,6.64,2.31,44,60.5,28.5,11
SL19,8.725555555555555,-75.92222222222223,surface,rainy,0.64,49,2.04,40.4,4.12,47.3,8.3,5.91,2.3,43,59.4,29.6,11
SL20,8.736944444444443,-75.92083333333333,surface,rainy,0.55,64.7,2.33,52.8,6.38,61.7,8.3,5.82,2.74,41,60.3,28.7,11
SL21,8.73861111111111,-75.91000000000001,surface,rainy,0.87,71.9,2.87,55.9,2.37,59.6,7.8,5.85,2.58,32,63.6,27.4,9
SL22,8.747777777777777,-75.90194444444445,surface,rainy,0.61,58.2,1.14,48.1,3.01,58.9,7.5,6.14,2.06,38,55.9,32.1,12
SL23,8.747499999999999,-75.89194444444445,surface,rainy,0.79,60.4,2.36,53.2,5.29,61.1,8.2,6.5,1.91,40,59.5,30.5,10
SL24,8.760833333333334,-75.88472222222222,surface,rainy,0.8,59.5,1.17,61.3,4.16,55.6,7.4,6.56,2.83,36,63.2,26.8,10
SL25,8.7675,-75.87333333333332,surface,rainy,1.36,54.7,1.04,66.5,2.71,59.7,7.6,5.97,1.88,39,59.8,29.2,11
SL01,8.544722222222221,-75.96305555555556,deep,dry,0.76,45.3,3.9,28.2,4.3,33.5,5.8,9.78,2.95,45,73.3,18.7,8
SL02,8.562777777777779,-75.96416666666667,deep,dry,0.88,49.2,1.22,24.5,5.4,34.2,5.6,9.22,2.89,48,73.8,17.2,9
SL03,8.58,-75.96861111111112,deep,dry,0.86,34.4,2.43,27.2,6.92,48.4,5.7,7.59,3.78,51,76.8,16.2,7
SL04,8.605,-75.96166666666667,deep,dry,0.91,42.8,3.56,32.6,7.53,44.3,6.3,9.74,2.66,39,75.5,17.5,7
SL05,8.607777777777777,-75.94833333333334,deep,dry,1.53,54.2,1.84,24.2,3.6,42.9,5.6,8.96,3.66,55,76.5,15.5,8
SL06,8.596666666666668,-75.9388888888889,deep,dry,0.97,36.1,1.42,33.1,5.14,39.4,5.6,7.68,3.54,58,72.3,18.7,9
SL07,8.614166666666666,-75.94083333333333,deep,dry,0.61,37.6,2.68,35.3,6.2,40.1,6.2,7.42,2.78,47,71.6,19.4,9
SL08,8.626666666666667,-75.93388888888889,deep,dry,0.45,44,3.24,34.6,4.86,39.2,6.5,8.24,2.67,60,72,20,8
SL09,8.633333333333333,-75.92750000000001,deep,dry,1.78,33.1,2.15,36.4,4.08,37.8,6.2,7.26,3.56,64,75.4,18.6,6
SL10,8.639999999999999,-75.91972222222223,deep,dry,0.87,52,3.36,40.8,5.24,40.7,5.8,8.54,2.98,55,74.1,17.9,8
SL11,8.648055555555555,-75.91611111111112,deep,dry,0.52,47.5,1.59,39.9,6,41.7,6.1,9.32,3.78,49,72,19,9
SL12,8.660555555555556,-75.92,deep,dry,0.91,38,3.71,30.2,4.29,25.3,5.7,9.03,3.61,50,71.6,20.4,8
SL13,8.674166666666666,-75.93305555555555,deep,dry,0.48,36.4,2.42,25.1,6.03,29.4,5.9,8.38,2.8,53,73.3,18.7,8
SL14,8.685,-75.94250000000001,deep,dry,1.89,40.8,3.15,34.4,5.33,30.5,6,7.24,2.94,53,72.7,19.3,8
SL15,8.700277777777776,-75.94611111111111,deep,dry,0.64,38,1.32,21.5,5.64,34.6,6.3,9.09,2.83,59,72.9,18.1,9
SL16,8.709444444444443,-75.93916666666667,deep,dry,0.95,31.6,1.92,39.1,2.29,39.1,6.9,9.16,3.41,64,73.3,19.7,7
SL17,8.721388888888889,-75.9413888888889,deep,dry,0.78,41.8,2.51,40.2,6,41.4,6.4,8.47,3.5,65,77.5,16.5,6
SL18,8.721666666666668,-75.93138888888889,deep,dry,0.97,38.2,3.66,41.1,4.14,42.3,6.7,7.52,2.88,61,73.4,17.6,9
SL19,8.725555555555555,-75.92222222222223,deep,dry,0.86,39.1,3.34,36.8,5.49,38.8,6.5,7.75,3.61,68,71.4,19.6,9
SL20,8.736944444444443,-75.92083333333333,deep,dry,1.55,35.6,3.22,42.1,6.56,40,5.8,8.84,3.51,68,73.3,18.7,8
SL21,8.73861111111111,-75.91000000000001,deep,dry,0.98,34.9,2.65,39.1,4.03,36.9,5.9,8.26,2.93,49,76,17,7
SL22,8.747777777777777,-75.90194444444445,deep,dry,0.79,41.2,1.46,36.5,7.87,38.1,5.7,7.18,3.41,52,73.7,19.3,7
SL23,8.747499999999999,-75.89194444444445,deep,dry,0.51,32.1,2.88,41.1,6.71,42.2,6.5,9.65,2.88,55,74.5,18.5,7
SL24,8.760833333333334,-75.88472222222222,deep,dry,0.92,37.6,1.42,39.5,5.62,40.7,5.7,8.81,3.51,56,74,18,8
SL25,8.7675,-75.87333333333332,deep,dry,1.54,37.7,3.54,34.7,4.28,35.6,5.7,7.82,3.5,51,75.1,17.9,7
SL01,8.544722222222221,-75.96305555555556,deep,rainy,0.64,42.3,3.04,27.3,4.16,30.2,7.9,6.43,2.74,38,73.3,18.7,8
SL02,8.562777777777779,-75.96416666666667,deep,rainy,0.78,44.4,0.94,22.6,5.29,31.4,7.8,5.95,2.69,35,73.8,17.2,9
SL03,8.58,-75.96861111111112,deep,rainy,0.55,43.2,2.12,28.5,6.34,44.8,6.9,6.64,1.92,41,76.8,16.2,7
SL04,8.605,-75.96166666666667,deep,rainy,0.66,36.6,3.04,39.9,6.06,40.5,7.7,5.82,2.87,44,75.5,17.5,7
SL05,8.607777777777777,-75.94833333333334,deep,rainy,0.89,41.2,1.21,34.4,3.11,39.8,8.2,5.84,3.01,32,76.5,15.5,8
SL06,8.596666666666668,-75.9388888888889,deep,rainy,0.84,37,0.86,32.2,5.01,38.7,7.9,6.7,2.49,32,72.3,18.7,9
SL07,8.614166666666666,-75.94083333333333,deep,rainy,0.82,38.2,1.14,46.5,6.18,37.8,7.8,6.54,1.8,36,71.6,19.4,9
SL08,8.626666666666667,-75.93388888888889,deep,rainy,0.37,41.1,2.23,37.6,4.01,36.4,8.1,5.95,1.98,35,72,20,8
SL09,8.633333333333333,-75.92750000000001,deep,rainy,0.84,22.5,1.87,28.8,3.97,35.7,8,5.96,2.82,40,75.4,18.6,6
SL10,8.639999999999999,-75.91972222222223,deep,rainy,0.64,36.9,2.62,32.4,4.47,37.4,7.4,6.71,2.64,40,74.1,17.9,8
SL11,8.648055555555555,-75.91611111111112,deep,rainy,0.46,34,0.47,43.3,5.64,39.2,8.1,6.5,1.93,37,72,19,9
SL12,8.660555555555556,-75.92,deep,rainy,0.79,23,2.18,31.6,4.12,24,7.7,5.88,2.08,39,71.6,20.4,8
SL13,8.674166666666666,-75.93305555555555,deep,rainy,0.35,29.2,1.47,25.9,6.2,27.1,7.9,6.35,2.52,41,73.3,18.7,8
SL14,8.685,-75.94250000000001,deep,rainy,1.07,28.6,2.95,39.2,5.09,30,7.8,5.9,2.56,39,72.7,19.3,8
